E_Type,TimeStamp,TimeInterval,Record,MarginalPrice,Power,PowerUncertainty,Cost,ReactivePower,ReactivePowerUncertainty,Voltage,VoltageUncertainty
42,2017-01-18 01:00:00,20170118T130000,1,19.325878116844034,12.788534656500511,0,4554.562329257265,0,0,0,0 
42,2017-01-18 01:00:00,20170118T130000,2,23.325878116844038,4.944728665723697,0,4554.562329257274,0,0,0,0 
42,2017-01-18 01:00:00,20170118T140000,0,21.29907702676843,619.0146954764172,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T140000,1,19.299077026768426,1509.7924204201397,0,4554.562329257257,0,0,0,0 
42,2017-01-18 01:00:00,20170118T140000,2,23.299077026768426,705.8287269098952,0,4554.562329257274,0,0,0,0 
42,2017-01-18 01:00:00,20170118T150000,0,21.31832474494078,714.4107650108298,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T150000,1,19.31832474494078,1836.27431983831,0,4554.562329257282,0,0,0,0 
42,2017-01-18 01:00:00,20170118T150000,2,23.31832474494079,765.6890040684945,0,4554.562329257265,0,0,0,0 
42,2017-01-18 01:00:00,20170118T160000,0,21.220400041719408,738.4519527025545,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T160000,1,19.220400041719415,1883.5564635262076,0,4554.562329257282,0,0,0,0 
42,2017-01-18 01:00:00,20170118T160000,2,23.220400041719415,802.5625904458983,0,4554.562329257249,0,0,0,0 
42,2017-01-18 01:00:00,20170118T170000,0,21.044222539508915,708.3093115912095,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T170000,1,19.044222539508915,1710.0085342217744,0,3355.99329524219,0,0,0,0 
42,2017-01-18 01:00:00,20170118T170000,2,23.04422253950891,792.9460343883312,0,3355.993295242196,0,0,0,0 
42,2017-01-18 01:00:00,20170118T180000,0,21.016541388447266,630.3122629842597,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T180000,1,19.016541388447266,1376.5490081898506,0,1917.710454424116,0,0,0,0 
42,2017-01-18 01:00:00,20170118T180000,2,23.01654138844727,692.9229474305047,0,1917.7104544241126,0,0,0,0 
42,2017-01-18 01:00:00,20170118T190000,0,21.021211336590348,603.7376178833715,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T190000,1,19.021211336590348,1355.9498772754991,0,1917.7104544241058,0,0,0,0 
42,2017-01-18 01:00:00,20170118T190000,2,23.02121133659034,656.9318677492824,0,1917.7104544241126,0,0,0,0 
42,2017-01-18 01:00:00,20170118T200000,0,21.021652535928435,553.4435613496788,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T200000,1,19.02165253592843,1219.9576537800963,0,479.4276136060273,0,0,0,0 
42,2017-01-18 01:00:00,20170118T200000,2,23.021652535928432,605.9268283968114,0,479.42761360602987,0,0,0,0 
42,2017-01-18 01:00:00,20170118T210000,0,21.01482296025419,4.751087059506936,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T210000,1,19.01482296025418,1189.8312851953742,0,479.4276136060273,0,0,0,0 
42,2017-01-18 01:00:00,20170118T210000,2,23.014822960254186,5.054392017937004,0,479.4276136060307,0,0,0,0 
42,2017-01-18 01:00:00,20170118T220000,0,20.17519671534203,0.0,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T220000,1,18.175196715342032,7.100729702218025,0,239.7138068030145,0,0,0,0 
42,2017-01-18 01:00:00,20170118T220000,2,22.175196715342032,3.9710328250181623,0,239.71380680301365,0,0,0,0 
42,2017-01-18 01:00:00,20170118T230000,0,19.83069492406854,0.0,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170118T230000,1,17.830694924068542,6.828308799524912,0,239.71380680301493,0,0,0,0 
42,2017-01-18 01:00:00,20170118T230000,2,21.830694924068546,3.9270094206830852,0,239.71380680301365,0,0,0,0 
42,2017-01-18 01:00:00,20170119T000000,0,19.577741307820926,0.03824128167812624,0,0,0,0,0,0 
42,2017-01-18 01:00:00,20170119T000000,1,17.57774130782092,6.633361724779425,0,0.0,0,0,0,0 
42,2017-01-18 01:00:00,20170119T000000,2,21.577741307820922,3.8167690066906563,0,0.0,0,0,0,0 
